LIDNUM,LAT,LONG,TIMEUNIT,NUMBER OF FIRST OCCURRENCES,NUMBER OF LAST OCCURRENCES,NUMBER OF OCCURRENCES,PROPORTION OF FIRST OCCURRENCES,PROPORTION OF LAST OCCURRENCES,OCCURRENCES IN FOCAL AREA (t-1),UNWEIGHTED OCCURRENCES IN FOCAL AREA (t-1),OCCURRENCES IN FOCAL AREA (t+1),UNWEIGHTED OCCURRENCES IN FOCAL AREA (t+1),FIRST OCCURRENCES IN FOCAL AREA (t),LAST OCCURRENCES IN FOCAL AREA (t),OCCURRENCES IN FOCAL AREA (t),UNWEIGHTED OCCURRENCES IN FOCAL AREA (t),PROPORTION OF FIRST OCCURRENCES IN FOCAL AREA (t),PROPORTION OF LAST OCCURRENCES IN FOCAL AREA (t),HYP1,HYP2,HYP3,LOP0,LOP1,LOP2,MEAN HYP,MEAN LOP,MAT,MAP,NPP,EXPECTED PROPORTION OF FIRST OCCURRENCES,EXPECTED PROPORTION OF LAST OCCURRENCES,NUMBER IMMIGRANT AND RESIDENT,NUMBER EMIGRANT AND RESIDENT,OCCURRENCES IMMIGRATION (t-1),OCCURRENCES IMMIGRATION (t),NUMBER IMMIGRANTS,NUMBER IMMIGRANTS (LOCALITY),OCCURRENCES EMIGRATION (t+1),OCCURRENCES EMIGRATION (t),NUMBER EMIGRANTS,NUMBER EMIGRANTS (LOCALITY),EXPECTED PROPORTION OF EMIGRATION,EXPECTED PROPORTION OF IMMIGRATION,SIGNIFICANCE FIRST,SIGNIFICANCE LAST,SIGNIFICANCE EMIGRATION,SIGNIFICANCE IMMIGRATION
21390,47.383,8.05,MN6,1.0,1.0,1.0,1.0,1.0,93.38022486172476,176.0,92.18078358234659,199.0,4.755562869781875,19.279034064060077,127.64967298317816,303.0,0.03725479868960236,0.1510308143648805,12.12132502121342,0.0,0.0,6.285854954132128,0.0,6.835470067081294,1.0,1.0418871655157234,12.348632145555339,1420.0896038061326,1566.0823653512396,0.24623405670894866,0.2287809578280409,0.0,0.0,86.17346638661665,122.89411011339622,47.8085311912352,0.0,82.7361142497007,108.37063891911804,25.874086537111072,0.0,0.4466066059972285,0.4738896335441344,0.9999999999836479,0.988912940715852,0.9999978173556024,0.9763242200073302
27955,39.20999129999999,-1.544182,MN15,0.0,2.0,4.0,0.0,0.5,0.0,0.0,29.71534097174729,52.0,0.939882792969874,2.9398827929698736,10.52004068953474,11.0,0.08934212525478752,0.27945545837046504,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.3088206934409411,0.2688038059983257,4.0,2.0,0.0,9.580157896564863,9.580157896564863,4.0,16.592419120028058,7.580157896564865,3.8196483789096223,1.0,0.6937204367434957,0.7434134368471933,0.9822152729001384,0.5847036554414051,0.9317231932240422,0.05839383010765311
28578,41.5326,1.788,MN7-8,3.0,3.0,9.0,0.3333333333333333,0.3333333333333333,0.0,0.0,325.70469215239086,468.0,93.8207750237545,39.052706903773114,260.29298206236365,283.0,0.3604429680753973,0.1500336528259393,49.78441088683652,0.0,0.0,24.33388825879273,9.292958931637994,15.176045245148414,1.0,0.8123504047278988,18.11000484132974,1617.4223570554252,1805.649882585492,0.3088206934409411,0.12656937222841705,6.0,6.0,0.0,166.47220703860916,166.47220703860916,6.0,258.87425572383944,221.24027515859055,21.376518567420376,0.0,0.03495564534906253,0.7857721870082456,0.04269737329353391,0.1482001734432737,2.5966733632669373e-05,3.7136645262505316e-18
28579,41.5326,1.7889,MN7-8,2.0,4.0,10.0,0.2,0.4,0.0,0.0,325.9503645411017,468.0,93.8486436022061,39.0662324679468,260.38488064666655,283.0,0.3604227840308267,0.15003264540907946,49.79500129295341,0.0,0.0,24.3380082485332,9.294777970901443,15.18144450490104,1.0,0.8124201978037674,18.10825303512544,1617.362355948101,1805.577039552208,0.3088206934409411,0.12648754878029875,8.0,6.0,0.0,166.5362370444605,166.5362370444605,8.0,259.0625269953134,221.31864817871974,21.38364492982289,0.0,0.034840655807843374,0.7857883887560215,0.04273034535109737,0.14722341825446722,2.467908588488864e-05,3.669355372868346e-18
28580,41.5326,1.7889,MN7-8,2.0,2.0,4.0,0.5,0.5,0.0,0.0,325.9503645411017,468.0,93.8486436022061,39.0662324679468,260.38488064666655,283.0,0.3604227840308267,0.15003264540907946,49.79500129295341,0.0,0.0,24.3380082485332,9.294777970901443,15.18144450490104,1.0,0.8124201978037674,18.10825303512544,1617.362355948101,1805.577039552208,0.3088206934409411,0.12648754878029875,2.0,2.0,0.0,166.5362370444605,166.5362370444605,2.0,259.0625269953134,221.31864817871974,21.38364492982289,0.0,0.034840655807843374,0.7857883887560215,0.04273034535109737,0.14722341825446722,2.467908588488864e-05,3.669355372868346e-18
28581,41.5326,1.7889,MN7-8,3.0,2.0,8.0,0.375,0.25,0.0,0.0,325.9503645411017,468.0,93.8486436022061,39.0662324679468,260.38488064666655,283.0,0.3604227840308267,0.15003264540907946,49.79500129295341,0.0,0.0,24.3380082485332,9.294777970901443,15.18144450490104,1.0,0.8124201978037674,18.10825303512544,1617.362355948101,1805.577039552208,0.3088206934409411,0.12648754878029875,5.0,6.0,0.0,166.5362370444605,166.5362370444605,5.0,259.0625269953134,221.31864817871974,21.38364492982289,0.0,0.034840655807843374,0.7857883887560215,0.04273034535109737,0.14722341825446722,2.467908588488864e-05,3.669355372868346e-18
28582,41.5326,1.7889,MN7-8,6.0,2.0,17.0,0.35294117647058826,0.1176470588235294,0.0,0.0,325.9503645411017,468.0,93.8486436022061,39.0662324679468,260.38488064666655,283.0,0.3604227840308267,0.15003264540907946,49.79500129295341,0.0,0.0,24.3380082485332,9.294777970901443,15.18144450490104,1.0,0.8124201978037674,18.10825303512544,1617.362355948101,1805.577039552208,0.3088206934409411,0.12648754878029875,11.0,15.0,0.0,166.5362370444605,166.5362370444605,11.0,259.0625269953134,221.31864817871974,21.38364492982289,4.0,0.034840655807843374,0.7857883887560215,0.04273034535109737,0.14722341825446722,2.467908588488864e-05,3.669355372868346e-18
28583,41.5326,1.7889,MN7-8,7.0,1.0,16.0,0.4375,0.0625,0.0,0.0,325.9503645411017,468.0,93.8486436022061,39.0662324679468,260.38488064666655,283.0,0.3604227840308267,0.15003264540907946,49.79500129295341,0.0,0.0,24.3380082485332,9.294777970901443,15.18144450490104,1.0,0.8124201978037674,18.10825303512544,1617.362355948101,1805.577039552208,0.3088206934409411,0.12648754878029875,9.0,15.0,0.0,166.5362370444605,166.5362370444605,9.0,259.0625269953134,221.31864817871974,21.38364492982289,2.0,0.034840655807843374,0.7857883887560215,0.04273034535109737,0.14722341825446722,2.467908588488864e-05,3.669355372868346e-18
28584,41.53,1.78,MN7-8,7.0,1.0,11.0,0.6363636363636364,0.09090909090909093,0.0,0.0,323.2909847599683,468.0,93.51972300017763,38.87413369567358,259.2947790446743,283.0,0.360669518085688,0.14992254699033447,49.68569051279755,0.0,0.0,24.29438255676257,9.27701478931504,15.12689620074958,1.0,0.8117493306578036,18.12509180048913,1617.939100433486,1806.2772235924506,0.3088206934409411,0.12737865579671834,4.0,10.0,0.0,165.77505604449658,165.77505604449658,4.0,256.9946125162316,220.4206453490007,21.307189093987304,3.0,0.03612093547095495,0.7855957266472451,0.04231996109208344,0.1594590753369607,4.264397498277258e-05,4.232792526285859e-18
28585,41.5326,1.7889,MN7-8,3.0,0.0,6.0,0.5,0.0,0.0,0.0,325.9503645411017,468.0,93.8486436022061,39.0662324679468,260.38488064666655,283.0,0.3604227840308267,0.15003264540907946,49.79500129295341,0.0,0.0,24.3380082485332,9.294777970901443,15.18144450490104,1.0,0.8124201978037674,18.10825303512544,1617.362355948101,1805.577039552208,0.3088206934409411,0.12648754878029875,3.0,6.0,0.0,166.5362370444605,166.5362370444605,3.0,259.0625269953134,221.31864817871974,21.38364492982289,0.0,0.034840655807843374,0.7857883887560215,0.04273034535109737,0.14722341825446722,2.467908588488864e-05,3.669355372868346e-18
