LIDNUM,LAT,LONG,TIMEUNIT,NUMBER OF FIRST OCCURRENCES,NUMBER OF LAST OCCURRENCES,NUMBER OF OCCURRENCES,PROPORTION OF FIRST OCCURRENCES,PROPORTION OF LAST OCCURRENCES
21712,43.217,0.95,MN7-8,0.0,0.0,2.0,0.0,0.0
24363,40.5167,22.9667,MN14,1.0,0.0,1.0,1.0,0.0
28331,10.271681232946726,40.27313232421875,MN13,18.0,7.0,22.0,0.8181818181818182,0.3181818181818182
23232,2.0,31.0,MN13,12.0,1.0,14.0,0.8571428571428571,0.07142857142857142
23241,1.083,30.533,MN16,3.0,2.0,8.0,0.375,0.25
23242,0.16699999999999998,30.0,MN13,2.0,0.0,2.0,1.0,0.0
23243,1.5,30.5,MN3,3.0,0.0,4.0,0.75,0.0
26936,1.0833333333333302,30.533333333333307,MN16,1.0,0.0,3.0,0.3333333333333333,0.0
23245,1.0,30.083,MN13,2.0,6.0,7.0,0.2857142857142857,0.8571428571428571
23244,1.3330000000000002,30.25,MN13,1.0,3.0,3.0,0.3333333333333333,1.0
23233,1.833,30.833,MN15,4.0,2.0,15.0,0.26666666666666666,0.13333333333333333
23234,1.75,30.917,MN16,0.0,1.0,4.0,0.0,0.25
23235,1.917,30.75,MN16,4.0,1.0,14.0,0.2857142857142857,0.07142857142857142
23236,1.6669999999999998,31.667,MQ18,0.0,0.0,1.0,0.0,0.0
23237,1.167,30.5,MN10,1.0,2.0,2.0,0.5,1.0
23238,1.083,30.417,MN13,2.0,0.0,3.0,0.6666666666666666,0.0
23239,1.0,30.467,MN15,0.0,0.0,2.0,0.0,0.0
23240,1.25,30.583,MN16,0.0,1.0,2.0,0.0,0.5
27505,40.062339,-2.8095692000000003,old,1.0,1.0,1.0,1.0,1.0
24721,41.1568,-1.4202,MN7-8,1.0,3.0,8.0,0.125,0.375
21539,40.467,-2.6,MN2,3.0,2.0,3.0,1.0,0.6666666666666666
27660,-23.1,134.6,MN5,9.0,9.0,9.0,1.0,1.0
20094,38.6,-0.5,MN14,9.0,5.0,19.0,0.47368421052631576,0.2631578947368421
21625,38.6,-0.5,MN14,2.0,2.0,9.0,0.2222222222222222,0.2222222222222222
27295,38.7020091,-0.4771982,MN14,5.0,0.0,7.0,0.7142857142857143,0.0
27381,38.7115674099536,-0.478806495666504,MN13,2.0,2.0,5.0,0.4,0.4
26868,2.0,34.0,MN6,0.0,2.0,4.0,0.0,0.5
21411,37.233,-3.567,MN12,0.0,0.0,2.0,0.0,0.0
21556,40.3833333333333,-1.05,MN11,1.0,1.0,7.0,0.14285714285714285,0.14285714285714285
