,LONG,LAT,FIRST OCCURRENCES IN FOCAL AREA (t),LAST OCCURRENCES IN FOCAL AREA (t),OCCURRENCES IN FOCAL AREA (t),UNWEIGHTED OCCURRENCES IN FOCAL AREA (t),HYP1,HYP2,HYP3,LOP0,LOP1,LOP2,OCCURRENCES IN FOCAL AREA (t-1),UNWEIGHTED OCCURRENCES IN FOCAL AREA (t-1),OCCURRENCES IN FOCAL AREA (t+1),UNWEIGHTED OCCURRENCES IN FOCAL AREA (t+1),PROPORTION OF FIRST OCCURRENCES IN FOCAL AREA (t),PROPORTION OF LAST OCCURRENCES IN FOCAL AREA (t),MEAN HYP,MEAN LOP,MAT,MAP,NPP,EXPECTED PROPORTION OF FIRST OCCURRENCES,EXPECTED PROPORTION OF LAST OCCURRENCES,OCCURRENCES WITHOUT SPECIATION,OCCURRENCES WITHOUT EXTINCTION
160,9.699999999999923,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
165,10.199999999999923,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
170,10.699999999999923,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
175,25.09999999999988,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
180,25.599999999999863,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
185,32.39999999999985,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,12.056714040282682,34.0,,,,,,,,0.3657022986197591,0.34126775584098196,0.0,0.0
190,32.899999999999835,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11.351817882456816,34.0,,,,,,,,0.3657022986197591,0.3415224420567716,0.0,0.0
195,33.399999999999835,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,10.266998798919273,34.0,,,,,,,,0.3657022986197591,0.3419145769600905,0.0,0.0
200,33.899999999999835,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,8.85475305933623,34.0,,,,,,,,0.3657022986197591,0.3424253922408829,0.0,0.0
205,36.39999999999984,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.26324012192562124,20.0,,,,,,,,0.3657022986197591,0.34554081959896804,0.0,0.0
210,36.89999999999983,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
215,37.39999999999983,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
220,37.89999999999983,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
225,38.39999999999982,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
230,38.89999999999982,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
235,39.39999999999982,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
240,39.89999999999982,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
245,-5.900000000000018,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
250,-5.400000000000019,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
255,-4.900000000000022,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
260,-4.400000000000024,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
265,-3.900000000000025,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
270,-3.400000000000027,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
275,-2.9000000000000288,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
280,-2.4000000000000306,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
285,-1.9000000000000323,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
290,-1.4000000000000343,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
295,-0.9000000000000359,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
300,-0.4000000000000377,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
305,0.09999999999996056,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
310,0.5999999999999588,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
315,1.099999999999957,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
320,1.5999999999999552,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
325,2.099999999999953,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
330,2.599999999999952,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
335,3.09999999999995,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
340,3.599999999999948,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
345,4.099999999999946,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
350,4.5999999999999455,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
355,5.0999999999999455,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
360,5.599999999999942,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
365,6.0999999999999375,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
370,6.5999999999999375,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
375,7.0999999999999375,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
380,7.599999999999932,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
385,8.09999999999993,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
390,8.59999999999993,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
395,9.09999999999993,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
400,9.599999999999927,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
405,10.099999999999923,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
410,10.599999999999923,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
415,24.89999999999987,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
420,25.39999999999987,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
425,25.89999999999987,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.025499205813059915,1.0,,,,,,,,0.3657022986197591,0.3456272187648358,0.0,0.0
430,32.39999999999985,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,12.800606743687409,34.0,,,,,,,,0.3657022986197591,0.3409990790825665,0.0,0.0
435,32.899999999999835,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,12.07150392292185,34.0,,,,,,,,0.3657022986197591,0.3412624130849893,0.0,0.0
440,33.399999999999835,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,10.952863305328343,34.0,,,,,,,,0.3657022986197591,0.3416666289753152,0.0,0.0
445,33.899999999999835,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9.501773218408141,34.0,,,,,,,,0.3657022986197591,0.3421913168833584,0.0,0.0
450,36.39999999999984,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.5136583375788996,20.0,,,,,,,,0.3657022986197591,0.3454498243090298,0.0,0.0
455,36.89999999999983,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
460,37.39999999999983,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
465,37.89999999999983,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
470,38.39999999999982,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
475,38.89999999999982,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
480,39.39999999999982,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
485,39.89999999999982,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
490,-5.900000000000018,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
495,-5.400000000000019,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
500,-4.900000000000022,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
505,-4.400000000000024,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
510,-3.900000000000025,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
515,-3.400000000000027,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
520,-2.9000000000000288,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
525,-1.8000000000000331,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
530,-1.3000000000000345,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
535,-0.8000000000000362,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
540,-0.300000000000038,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
545,0.1999999999999602,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
550,0.6999999999999584,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
555,1.1999999999999569,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
560,1.6999999999999549,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
565,2.199999999999953,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
570,2.6999999999999518,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
575,3.1999999999999496,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
580,3.699999999999948,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
585,4.199999999999946,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
590,4.699999999999943,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
595,5.1999999999999424,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
600,5.699999999999938,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
605,6.199999999999938,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
610,6.699999999999938,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
615,7.1999999999999345,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
620,7.699999999999932,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
625,8.199999999999932,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
630,8.699999999999932,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
635,9.199999999999926,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
640,9.699999999999923,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
645,10.199999999999923,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
650,10.699999999999923,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
655,24.39999999999988,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
660,24.89999999999987,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
665,25.39999999999987,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.004480746694868685,1.0,,,,,,,,0.3657022986197591,0.3456348577272608,0.0,0.0
670,25.999999999999872,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.05317060128550065,1.0,,,,,,,,0.3657022986197591,0.34561716197637443,0.0,0.0
675,33.099999999999845,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,12.371369568725815,34.0,,,,,,,,0.3657022986197591,0.3411540971230085,0.0,0.0
680,33.59999999999984,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11.074243027374997,34.0,,,,,,,,0.3657022986197591,0.3416227578039673,0.0,0.0
685,36.09999999999983,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.6679118911993849,20.0,,,,,,,,0.3657022986197591,0.3450305457923861,0.0,0.0
690,36.59999999999983,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.14069728469677556,20.0,,,,,,,,0.3657022986197591,0.3455853525150885,0.0,0.0
695,37.09999999999983,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
700,37.59999999999983,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
705,38.09999999999983,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
710,38.59999999999983,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
715,39.09999999999983,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
720,39.59999999999983,35.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
725,-6.100000000000018,35.30000000000001,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
730,-5.600000000000019,35.30000000000001,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
735,-5.100000000000022,35.30000000000001,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
