,LONG,LAT,FIRST OCCURRENCES IN FOCAL AREA (t),LAST OCCURRENCES IN FOCAL AREA (t),OCCURRENCES IN FOCAL AREA (t),UNWEIGHTED OCCURRENCES IN FOCAL AREA (t),HYP1,HYP2,HYP3,LOP0,LOP1,LOP2,OCCURRENCES IN FOCAL AREA (t-1),UNWEIGHTED OCCURRENCES IN FOCAL AREA (t-1),OCCURRENCES IN FOCAL AREA (t+1),UNWEIGHTED OCCURRENCES IN FOCAL AREA (t+1),PROPORTION OF FIRST OCCURRENCES IN FOCAL AREA (t),PROPORTION OF LAST OCCURRENCES IN FOCAL AREA (t),MEAN HYP,MEAN LOP,MAT,MAP,NPP,EXPECTED PROPORTION OF FIRST OCCURRENCES,EXPECTED PROPORTION OF LAST OCCURRENCES,OCCURRENCES WITHOUT SPECIATION,OCCURRENCES WITHOUT EXTINCTION
0,-6.300000000000018,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
5,-5.8000000000000185,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
10,-5.3000000000000185,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
15,-4.800000000000021,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
20,-4.300000000000024,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
25,-3.8000000000000256,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
30,-3.3000000000000287,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
35,-2.800000000000029,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
40,-2.300000000000031,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
45,-1.8000000000000331,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
50,-1.3000000000000345,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
55,-0.8000000000000362,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
60,-0.300000000000038,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
65,0.1999999999999602,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
70,0.6999999999999584,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
75,1.1999999999999569,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
80,1.6999999999999549,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
85,2.199999999999953,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
90,2.6999999999999518,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
95,3.1999999999999496,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
100,3.699999999999948,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
105,4.199999999999946,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
110,4.699999999999943,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
115,5.1999999999999424,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
120,5.699999999999938,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
125,6.199999999999938,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
130,6.699999999999938,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
135,7.1999999999999345,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
140,7.699999999999932,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
145,8.199999999999932,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
150,8.699999999999932,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
155,9.199999999999926,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3657022986197591,0.3456364862230488,0.0,0.0
